Cluster_40,K-means Cluster Size,Best WGCNA Module,WGCNA Module Size,Common Genes
9,8292,1,7615,4591
13,1730,0,8172,713
7,1350,0,8172,562
0,1210,0,8172,461
12,1187,0,8172,440
22,877,0,8172,354
4,1010,0,8172,320
16,728,0,8172,313
24,681,0,8172,292
39,643,0,8172,287
36,729,0,8172,282
33,441,0,8172,196
11,504,0,8172,188
15,446,0,8172,163
14,390,0,8172,146
30,424,0,8172,131
3,317,0,8172,120
29,229,0,8172,101
25,261,0,8172,91
26,201,0,8172,76
38,182,0,8172,58
37,178,1,7615,58
32,98,2,1975,42
28,69,0,8172,33
10,32,0,8172,11
21,13,2,1975,8
34,8,2,1975,4
31,4,1,7615,3
2,1,2,1975,1
23,1,0,8172,1
27,1,1,7615,1
1,1,1,7615,1
19,1,2,1975,1
18,1,3,1614,1
17,1,0,8172,1
35,1,2,1975,1
5,1,1,7615,1
6,1,2,1975,1
8,2,1,7615,1
20,1,3,1614,1
